,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Andhra Pradesh,Andhra Pradesh,GPE,0.01339286,0.40625000,en,2.80000000,4001934-2,1278629,X,16.00000000,79.00000000,ASIA,India,SAS
Quebec,Quebec,GPE,-0.17940115,0.74300144,en,2.80000000,,-1,,,,,,
Sweden,Sweden,GPE,-0.04563492,1.10714286,en,2.80000000,4077258-5,2661886,X,62.00000000,15.00000000,EUROPE,Sweden,NEU
Istanbul,Istanbul,GPE,-0.30952381,0.89285714,en,2.80000000,4027821-9,745044,X,41.01361100,28.94944400,EUROPE-AFRICA,Turkey,MED
New England,New England,LOC,0.36087276,1.21977427,en,2.80000000,,-1,,,,,,
Maryland,Maryland,GPE,0.00000000,0.00000000,en,2.80000000,4037776-3,4361885,X,39.90000000,-76.74997000,NORTH-AMERICA,United States,ENA
the East Coast,the East Coast,LOC,-0.01234568,0.97530864,en,2.70000000,,-1,,,,,,
Edmonton,Edmonton,GPE,-0.38173077,1.00000000,en,2.60000000,,-1,,,,,,
spain,spain,GPE,0.14860140,0.30303030,en,2.60000000,,-1,,,,,,
Lake Erie,Lake Erie,LOC,0.02519587,0.72471510,en,2.60000000,,-1,,,,,,
Shawnee,Shawnee,GPE,-0.27403846,0.79433761,en,2.60000000,,-1,,,,,,
Manitoba,Manitoba,GPE,0.33076923,0.66923077,en,2.60000000,4100106-0,6065171,X,55.90000000,-97.89999900,NORTH-AMERICA,Canada,NEN
Illinois,Illinois,GPE,0.05244755,0.17482517,en,2.60000000,4109206-5,4896861,X,40.20000000,-89.25037000,NORTH-AMERICA,United States,ENA
Great Lakes,Great Lakes,LOC,0.07620370,0.92037037,en,2.50000000,,-1,,,,,,
Brooklyn,Brooklyn,GPE,0.02444444,0.45511111,en,2.50000000,,-1,,,,,,
NYC,NYC,GPE,-0.36000000,0.67000000,en,2.50000000,,-1,,,,,,
TX,TX,GPE,0.04000000,0.66400000,en,2.50000000,,-1,,,,,,
Asia,Asia,LOC,-0.40000000,1.08333333,en,2.40000000,,-1,,,,,,
Moscow,Moscow,GPE,0.18923611,0.47395833,en,2.40000000,4074987-3,524901,X,55.75222200,37.61555500,EUROPE,Russia,WCE
Crete,Crete,GPE,-0.29166667,0.27777778,en,2.40000000,,-1,,,,,,
Nashville,Nashville,GPE,-0.05555556,0.32638889,en,2.40000000,,-1,,,,,,
